run_id,capacity_bytes,capacity_error_frac,tfup_ground_s,tfup_ground_completed,tfup_progressive_s,tfup_progressive_completed,tcp_ground_s,tcp_progressive_s
71,397383340.22988164,0.05968890727968448,nan,False,30.016384,False,nan,nan
72,333365877.20521426,-0.11102432745276206,nan,False,30.016384,False,nan,nan
73,339317327.266276,-0.09515379395659727,nan,False,30.016384,False,nan,nan
74,358906780.90119547,-0.042915250930145324,nan,False,30.016384,False,nan,nan
75,377390459.7296834,0.006374559279155837,nan,False,30.016384,False,nan,nan
76,378664851.4398375,0.00977293717290007,nan,False,30.016384,False,nan,nan
77,298350692.66739607,-0.20439815288694377,nan,False,30.016384,False,nan,nan
78,438901025.6510156,0.17040273506937487,nan,False,30.016384,False,nan,nan
79,341617724.31178796,-0.08901940183523209,nan,False,30.016384,False,nan,nan
80,443137082.31114733,0.18169888616305943,nan,False,30.016384,False,nan,nan
81,324290436.8472473,-0.13522550174067383,nan,False,30.016384,False,nan,nan
82,338843563.08324087,-0.09641716511135762,nan,False,30.016384,False,nan,nan
83,365571189.1955635,-0.02514349547849742,nan,False,30.016384,False,nan,nan
84,366649683.25106657,-0.022267511330489112,nan,False,30.016384,False,nan,nan
85,346065812.9050788,-0.07715783225312309,nan,False,30.016384,False,nan,nan
86,402558569.6714964,0.0734895191239904,nan,False,30.016384,False,nan,nan
87,307423720.73536617,-0.18020341137235682,nan,False,30.016384,False,nan,nan
88,414564664.8676884,0.10550577298050255,nan,False,30.016384,False,nan,nan
89,344326012.60880053,-0.08179729970986532,nan,False,30.016384,False,nan,nan
90,421934987.0447063,0.1251599654525502,nan,False,30.016384,False,nan,nan
91,359673201.8932772,-0.0408714616179274,nan,False,30.016384,False,nan,nan
92,322535379.30664504,-0.13990565518227993,nan,False,30.016384,False,nan,nan
93,391841801.1896667,0.044911469839111096,nan,False,30.016384,False,nan,nan
94,458631412.78179353,0.22301710075144932,nan,False,30.016384,False,nan,nan
95,373033238.1656185,-0.0052446982250173805,nan,False,30.016384,False,nan,nan
96,379180685.073029,0.011148493528077183,nan,False,30.016384,False,nan,nan
97,360023471.7309023,-0.03993740871759376,nan,False,30.016384,False,nan,nan
98,342130191.184563,-0.08765282350783205,nan,False,30.016384,False,nan,nan
99,346825257.99250734,-0.07513264535331379,nan,False,30.016384,False,nan,nan
