run_id,architecture,tfup_s,tcp_s
37,A0_GROUND_ONLY,303.2783909243344,303.2783909243344
37,A1_COMPRESSED_FULL,270.0374597431451,270.0374597431451
37,A2_QUICKLOOK_FIRST,19.003745974314512,19.003745974314512
37,A3_ROI_FIRST,110.03745974314513,110.03745974314513
37,A4_PROGRESSIVE,30.053843743145134,80.80492214314513
38,A0_GROUND_ONLY,320.82515810121026,320.82515810121026
38,A1_COMPRESSED_FULL,269.88777077355036,269.88777077355036
38,A2_QUICKLOOK_FIRST,18.98877707735504,18.98877707735504
38,A3_ROI_FIRST,109.88777077355039,109.88777077355039
38,A4_PROGRESSIVE,29.90415477355038,80.65523317355039
39,A0_GROUND_ONLY,321.782813668433,321.782813668433
39,A1_COMPRESSED_FULL,272.1761032463383,272.1761032463383
39,A2_QUICKLOOK_FIRST,19.21761032463383,19.21761032463383
39,A3_ROI_FIRST,112.17610324633833,112.17610324633833
39,A4_PROGRESSIVE,32.192487246338324,82.94356564633833
40,A0_GROUND_ONLY,323.62764665117606,323.62764665117606
40,A1_COMPRESSED_FULL,271.32520598974565,271.32520598974565
40,A2_QUICKLOOK_FIRST,19.132520598974565,19.132520598974565
40,A3_ROI_FIRST,111.32520598974565,111.32520598974565
40,A4_PROGRESSIVE,31.341589989745646,82.09266838974565
41,A0_GROUND_ONLY,257.19678447030805,257.19678447030805
41,A1_COMPRESSED_FULL,269.2241933391206,269.2241933391206
41,A2_QUICKLOOK_FIRST,18.922419333912053,18.922419333912053
41,A3_ROI_FIRST,109.22419333912055,109.22419333912055
41,A4_PROGRESSIVE,29.240577339120545,79.99165573912055
42,A0_GROUND_ONLY,257.3177469445376,257.3177469445376
42,A1_COMPRESSED_FULL,269.9557567260139,269.9557567260139
42,A2_QUICKLOOK_FIRST,18.99557567260139,18.99557567260139
42,A3_ROI_FIRST,109.95575672601387,109.95575672601387
42,A4_PROGRESSIVE,29.97214072601388,80.72321912601387
43,A0_GROUND_ONLY,269.1058668596561,269.1058668596561
43,A1_COMPRESSED_FULL,268.6263127157726,268.6263127157726
43,A2_QUICKLOOK_FIRST,18.86263127157726,18.86263127157726
