architecture,thread,terminal_class,condition,trial_idx,total_passes,passes_met,cadence_rate,structural_incapacity,success
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,15,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,16,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,17,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,18,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,19,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,0,0,0.0,True,False
RoiFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,0,0,0.0,True,False
Progressive,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,28,28,1.0,False,True
ContactAware,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,0,0,0.0,True,False
ThreadAwarePriority,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,20,28,28,1.0,False,True
GroundOnly,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,0,0,0.0,True,False
CompressedFull,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,0,0,0.0,True,False
QuicklookFirst,MT4_PERSISTENT_MONITORING,VEHICLE_MOUNTED,NOMINAL,21,0,0,0.0,True,False
