satellites,planes,terminals,architecture,thread,n_trials,successes,success_rate,success_rate_ci_lower,success_rate_ci_upper
2,1,4,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,160,7,0.04375,0.02135133953480136,0.08754408140835349
2,1,4,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,160,5,0.03125,0.013420318754525096,0.07106127810488057
2,1,4,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
4,1,1,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,1,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,1,CompressedFull,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,1,ContactAware,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,ContactAware,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,1,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,1,ContactAware,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,1,GroundOnly,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,GroundOnly,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,1,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,1,GroundOnly,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,1,Progressive,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,Progressive,MT2_ROUTE_RECON_FIRST,160,11,0.06875,0.03881901944217292,0.11890404966848031
4,1,1,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,160,12,0.075,0.043420566103405354,0.12650941504912244
4,1,1,Progressive,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
4,1,1,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,QuicklookFirst,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,1,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,1,QuicklookFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,1,RoiFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,RoiFirst,MT2_ROUTE_RECON_FIRST,160,9,0.05625,0.029871962307707264,0.10343728271919676
4,1,1,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,12,0.075,0.043420566103405354,0.12650941504912244
4,1,1,RoiFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,1,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,1,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,160,11,0.06875,0.03881901944217292,0.11890404966848031
4,1,1,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,160,12,0.075,0.043420566103405354,0.12650941504912244
4,1,1,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
4,1,2,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,2,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,2,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,2,CompressedFull,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,2,ContactAware,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,2,ContactAware,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,2,ContactAware,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,2,ContactAware,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,2,GroundOnly,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,2,GroundOnly,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,2,GroundOnly,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,2,GroundOnly,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,2,Progressive,MT1_TIME_SENSITIVE_CUEING,160,1,0.00625,0.00110410335439148,0.03454984533751582
4,1,2,Progressive,MT2_ROUTE_RECON_FIRST,160,9,0.05625,0.029871962307707264,0.10343728271919676
4,1,2,Progressive,MT3_BATTLE_DAMAGE_ASSESSMENT,160,10,0.0625,0.03429929567623645,0.11121686139254218
4,1,2,Progressive,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
4,1,2,QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,160,1,0.00625,0.00110410335439148,0.03454984533751582
4,1,2,QuicklookFirst,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,2,QuicklookFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,2,QuicklookFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,2,RoiFirst,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,2,RoiFirst,MT2_ROUTE_RECON_FIRST,160,7,0.04375,0.02135133953480136,0.08754408140835349
4,1,2,RoiFirst,MT3_BATTLE_DAMAGE_ASSESSMENT,160,7,0.04375,0.02135133953480136,0.08754408140835349
4,1,2,RoiFirst,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
4,1,2,ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,160,1,0.00625,0.00110410335439148,0.03454984533751582
4,1,2,ThreadAwarePriority,MT2_ROUTE_RECON_FIRST,160,10,0.0625,0.03429929567623645,0.11121686139254218
4,1,2,ThreadAwarePriority,MT3_BATTLE_DAMAGE_ASSESSMENT,160,11,0.06875,0.03881901944217292,0.11890404966848031
4,1,2,ThreadAwarePriority,MT4_PERSISTENT_MONITORING,24,12,0.5,0.31427131627763083,0.6857286837223692
4,1,4,CompressedFull,MT1_TIME_SENSITIVE_CUEING,160,0,0.0,0.0,0.023447036650032713
4,1,4,CompressedFull,MT2_ROUTE_RECON_FIRST,160,0,0.0,0.0,0.023447036650032713
4,1,4,CompressedFull,MT3_BATTLE_DAMAGE_ASSESSMENT,160,0,0.0,0.0,0.023447036650032713
4,1,4,CompressedFull,MT4_PERSISTENT_MONITORING,24,0,0.0,0.0,0.13798057582897535
