architecture,thread,terminal_class,condition,trial_idx,latency_s,produced_tier,structural_incapacity,success,has_prior_reference
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,20,38527.716594747384,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,26220.784256706527,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,26237.349141186525,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,21,26237.265255106526,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,nan,False,True,False,
QuicklookFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,43073.73082951362,True,False,False,
RoiFirst,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,nan,False,True,False,
Progressive,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,43090.29571399362,True,False,False,
ContactAware,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,nan,False,True,False,
ThreadAwarePriority,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,22,43090.21182791362,True,False,False,
GroundOnly,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,nan,False,True,False,
CompressedFull,MT1_TIME_SENSITIVE_CUEING,VEHICLE_MOUNTED,NOMINAL,23,nan,False,True,False,
