run_id,architecture,tfup_s,tcp_s,completed
39,A1_COMPRESSED_FULL,272.1761032463383,272.1761032463383,True
39,A2_QUICKLOOK_FIRST,19.21761032463383,,False
39,A3_ROI_FIRST,112.17610324633833,,False
39,A4_PROGRESSIVE,32.192487246338324,,False
40,A0_GROUND_ONLY,,,False
40,A1_COMPRESSED_FULL,271.32520598974565,271.32520598974565,True
40,A2_QUICKLOOK_FIRST,19.132520598974565,,False
40,A3_ROI_FIRST,111.32520598974565,,False
40,A4_PROGRESSIVE,31.341589989745646,,False
41,A0_GROUND_ONLY,,,False
41,A1_COMPRESSED_FULL,269.2241933391206,269.2241933391206,True
41,A2_QUICKLOOK_FIRST,18.922419333912053,,False
41,A3_ROI_FIRST,109.22419333912055,,False
41,A4_PROGRESSIVE,29.240577339120545,,False
42,A0_GROUND_ONLY,,,False
42,A1_COMPRESSED_FULL,269.9557567260139,269.9557567260139,True
42,A2_QUICKLOOK_FIRST,18.99557567260139,,False
42,A3_ROI_FIRST,109.95575672601387,,False
42,A4_PROGRESSIVE,29.97214072601388,,False
43,A0_GROUND_ONLY,,,False
43,A1_COMPRESSED_FULL,268.6263127157726,268.6263127157726,True
43,A2_QUICKLOOK_FIRST,18.86263127157726,,False
43,A3_ROI_FIRST,108.62631271577261,,False
43,A4_PROGRESSIVE,28.64269671577261,,False
44,A0_GROUND_ONLY,,,False
44,A1_COMPRESSED_FULL,271.9725601448573,271.9725601448573,True
44,A2_QUICKLOOK_FIRST,19.197256014485735,,False
44,A3_ROI_FIRST,111.97256014485734,,False
44,A4_PROGRESSIVE,31.98894414485734,,False
45,A0_GROUND_ONLY,,,False
45,A1_COMPRESSED_FULL,273.02650284789115,273.02650284789115,True
45,A2_QUICKLOOK_FIRST,19.302650284789113,,False
45,A3_ROI_FIRST,113.02650284789112,,False
45,A4_PROGRESSIVE,33.042886847891126,,False
46,A0_GROUND_ONLY,,,False
46,A1_COMPRESSED_FULL,,,False
46,A2_QUICKLOOK_FIRST,19.211338879404853,,False
46,A3_ROI_FIRST,112.11338879404852,,False
46,A4_PROGRESSIVE,32.12977279404853,,False
47,A0_GROUND_ONLY,,,False
47,A1_COMPRESSED_FULL,270.849237370016,270.849237370016,True
47,A2_QUICKLOOK_FIRST,19.0849237370016,,False
47,A3_ROI_FIRST,110.84923737001598,,False
47,A4_PROGRESSIVE,30.865621370015983,,False
48,A0_GROUND_ONLY,,,False
48,A1_COMPRESSED_FULL,268.0609981465316,268.0609981465316,True
48,A2_QUICKLOOK_FIRST,18.80609981465316,,False
48,A3_ROI_FIRST,108.0609981465316,,False
48,A4_PROGRESSIVE,28.077382146531594,,False
49,A0_GROUND_ONLY,,,False
49,A1_COMPRESSED_FULL,269.5719687215125,269.5719687215125,True
49,A2_QUICKLOOK_FIRST,18.95719687215125,,False
49,A3_ROI_FIRST,109.57196872151252,,False
49,A4_PROGRESSIVE,29.58835272151252,,False
50,A0_GROUND_ONLY,,,False
